6.956642315063898252e+01,8.619400481333488528e+01,6.670743853555033809e+01,5.929945931773542611e+01,4.903195246417939046e+01,6.145759944157563837e+01,7.067746354932563690e+01,6.066515074790248718e+01,6.469382333655616435e+01,7.230993933801580908e+01
8.302794310407726641e+01,6.565928214858621459e+01,7.920543498498588519e+01,7.557352345229666923e+01,4.836516042509512658e+01,5.803832597467786059e+01,5.695405978235626776e+01,7.465639482170797692e+01,6.202576919642378073e+01,8.898390006226860294e+01
7.898292566289924821e+01,8.634660709099060227e+01,6.333323899972308624e+01,4.449286462054161007e+01,6.894205317050059989e+01,5.879665864237577466e+01,5.061542490852829701e+01,5.609035561082657750e+01,6.560160044666116619e+01,6.820132970317472143e+01
6.979403530776663445e+01,6.920555880157309048e+01,6.449876912642632476e+01,5.410168175414080594e+01,5.468970913288306690e+01,6.178261626634934345e+01,4.724898298147965647e+01,4.295571993501658170e+01,4.826431040258286487e+01,5.114377541970563357e+01
6.755625660356366780e+01,5.447519938007147999e+01,3.193034396089628402e+01,5.477132045070645461e+01,6.244418677522582328e+01,4.210608193531159316e+01,5.771341115482208295e+01,6.093373623894837010e+01,5.372257115078644318e+01,9.706509728539944604e+01
7.026219311835788517e+01,6.306635025108592174e+01,5.856869224329707180e+01,5.671496295059049686e+01,5.820915550472410871e+01,6.108987863169839727e+01,7.555631337533355918e+01,6.018612558481677866e+01,6.232035935455388653e+01,7.589854612918550458e+01
7.631925973009617792e+01,7.725410377107186832e+01,7.223027821571969298e+01,4.870432025990287883e+01,5.285632399415274563e+01,6.771044981576879707e+01,8.144392393086711479e+01,5.369165433726072933e+01,7.447961422628335981e+01,5.331699290325273211e+01
5.931176500573214838e+01,5.369646531938242617e+01,8.538809020302454655e+01,7.505334314310164245e+01,7.922470967877364956e+01,5.532971817339852549e+01,6.864124005647838089e+01,7.577798177084501674e+01,6.796011891712231545e+01,6.010803470830597917e+01
6.901934714974899521e+01,6.745764202874364912e+01,7.326770247361982058e+01,6.884683073680878351e+01,7.718991082156662742e+01,6.271753083381611305e+01,6.413099790219870044e+01,5.605107668055460124e+01,5.069011760259181898e+01,6.545326281372028632e+01
7.264964895592578387e+01,6.328297031471372946e+01,6.463620715433779651e+01,5.377157620691249207e+01,5.693762290228010414e+01,8.723123937724318466e+01,7.855793807577684618e+01,6.324262895442119259e+01,7.489146240162617119e+01,6.706360860500790011e+01
6.778346572433747497e+01,4.118991664269901776e+01,7.997265328494722780e+01,6.550182514899502451e+01,6.729246315594383532e+01,5.663596966865330984e+01,7.256571975210825087e+01,7.192799633677257987e+01,7.498233303064677102e+01,7.104777938152422223e+01
6.278960283521993091e+01,5.040726651002825776e+01,4.427635881384253480e+01,5.897360805280786167e+01,5.164661264404652030e+01,6.452584184732040740e+01,6.904066915619512201e+01,5.834952436145977828e+01,7.069664931477052505e+01,5.521953742235872653e+01
5.819541745762452933e+01,5.924675995409635476e+01,5.303038196657794856e+01,5.761497135562218830e+01,5.142488332581483235e+01,6.202676695705974907e+01,5.262440533262552123e+01,5.355111504473303086e+01,6.013229975508039615e+01,6.021272534477899541e+01
6.630539867808425925e+01,6.149071951115872992e+01,6.173588956207150602e+01,7.387266610641216857e+01,5.674420482878142735e+01,5.850131992642371159e+01,7.141368032763790552e+01,5.220257420039690288e+01,5.202298204790287173e+01,6.192646155705210731e+01
7.178572489922726163e+01,5.615786537274325951e+01,4.315429856152263710e+01,7.393259921499615928e+01,6.037992151604235147e+01,5.678912368315445036e+01,8.320163640593074206e+01,5.242180527936169909e+01,6.121389010056800828e+01,6.374682346054039783e+01
